Titlu;Localitate;Suprafata teren;Suprafata utila;Stare;Numar camere;Numar bai;Mobilat;Tip tranzactie;Pret
Casa de vanzare 5 camere 160mpu 3 bai 120mp teren liber zona;Sibiu / Sibiu;184 m²;160 m²;Bună;5;3;Complet;Vânzare;259.000 €
Casa Individuala teren liber 550mp cu garaj 290mpu zona Seli;Sibiu / Sibiu;700 m²;290 m²;Bună;5+;3;Complet;Vânzare;450.000 €
Vila premium Cisnadioara – panorama$ piscina infinity$ ter;Sibiu / Cisnadioara;485 m²;167 m²;Bună;5;4;;Vânzare;295.000 €
Casa intabulata 5 camere 3 bai - pivnita - terasa - COMISION;Sibiu / Sibiu;250 m²;185 m²;Bună;5;3;Nemobilat;Vânzare;205.000 €
Oportunitate de investitie in Sibiu aproape de Podul Minciun;Sibiu / Sibiu;583 m²;334 m²;Bună;5+;10;Complet;Vânzare;318.000 €
Vilă D+P+1+M - lux Dorohoi – 228 mp utili$ teren 2.300 mp;Botosani / Dorohoi;2300 m²;227 m²;Bună;5+;3;Complet;Vânzare;230.000 €
Doua case + anexa$ teren 1655mp$ Vama Buzaului (Acris);Brasov / Brasov;1655 m²;180 m²;Bună;5+;2;Nemobilat;Vânzare;99.000 €
Casa individuala 8 camere curte libera 300mp zona Calea Popl;Sibiu / Sibiu;430 m²;300 m²;Bună;5+;2;Nemobilat;Vânzare;354.900 €
Casa noua de vanzare$ posibilitate de mansardare$ in Campia;Cluj / Campia Turzii;300 m²;260 m²;În construcție;4;2;Nemobilat;Vânzare;200.000 €
Oportunitate!! Casa individuala$ afacere la cheie$ Satu Mare;Suceava / Radauti;2000 m²;470 m²;Bună;5+;4;Parțial;Vânzare;480.000 €
De vanzare casa la cheie cu garaj in cartierul Faget zona Di;Cluj / Cluj-Napoca;180 m²;182 m²;Bună;5;4;Parțial;Vânzare;489.000 €
COMISION 0-Casa individuala cu teren de 836 mp Apoldul de Su;Sibiu / Apoldu De Sus;836 m²;112 m²;Bună;5+;1;Parțial;Vânzare;75.000 €
